Country,City,AQI_Value,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,VOCs,SO2,Emissions,AQI_Category
Germany,Amberg,42,1,Good,35,Good,2,Good,42,L0,91.54576115,13.52601499,L0,Good
Philippines,San Pedro,56,1,Good,25,Good,2,Good,56,L1,136.0721248,9.13677355,L1,Moderate
United States of America,Florida Ridge,48,1,Good,16,Good,8,Good,48,L0,101.5775313,1.350506482,L0,Good
Thailand,Nong Phai,44,0,Good,21,Good,0,Good,44,L0,124.7439936,-1.142823065,L0,Good
India,Deoranian,154,4,,33,Good,8,Good,154,L3,401.4001329,16.64249955,L3,Unhealthy
Azerbaijan,Yevlax,64,1,Good,44,Good,0,Good,64,L1,169.8058676,-3.161853912,L1,Moderate
United States of America,Anderson,65,2,Good,,Good,8,Good,65,L1,175.0046986,14.22978986,L1,Moderate
United Republic of Tanzania,Matui,21,0,Good,17,Good,0,Good,21,L0,69.90383435,2.761556789,L0,Good
Russian Federation,Novospasskoye,48,0,Good,34,Good,1003.063334,Good,48,L0,122.8058768,-8.106725756,L0,Good
China,Daokou,176,5,Good,176,Unhealthy,8,Good,173,L3,424.0556247,15.51380995,L3,Unhealthy
Italy,Lavello,52,1,Good,44,Good,2,Good,52,L1,135.2796654,5.189433286,L1,Moderate
Brazil,Itaberaba,16,0,Good,11,Good,0,Good,16,L0,49.86894811,-3.407688509,L0,Good
Guatemala,San Luis Jilotepeque,62,2,Good,10,Good,6,Good,62,L1,147.4485093,6.75351583,L1,Moderate
Belgium,Kortenberg,53,1,Good,38,Good,2,Good,53,L1,119.1379463,-0.478394833,L1,Moderate
United Republic of Tanzania,Kabanga,171,6,Good,10,Good,3,Good,171,L3,431.5328689,12.14009551,L3,Unhealthy
United States of America,Belvedere Park,100,3,Good,1,Good,29,Good,100,L2,256.4125714,5.486738258,L2,Unhealthy for Sensitive Groups
Spain,Osuna,30,1,Good,,Good,3,Good,30,L0,81.32508097,6.41802293,L0,Good
Mexico,Huetamo,43,1,Good,18,Good,2,Good,43,L0,128.3876522,2.715033259,L0,Good
United States of America,Albert Lea,42,1,Good,42,Good,1,Good,42,L0,98.05810599,7.760692132,L0,Good
Germany,Oberndorf,59,1,Good,39,Good,1,Good,59,L1,142.5370099,-2.06616654,L1,Moderate
Madagascar,Sakaraha,29,0,Good,23,Good,0,Good,29,L0,70.366891,4.856597871,L0,Good
Italy,Magione,38,1,Good,38,Good,2,Good,23,L0,91.74729455,9.19178596,L0,Good
United States of America,Glens Falls,64,2,Good,17,Good,6,Good,64,L1,173.3240054,5.934410772,L1,Moderate
India,Bijawar,162,2,Good,108,Unhealthy for Sensitive Groups,0,Good,162,L3,412.0431988,3.271610307,L3,Unhealthy
United States of America,Royal Palm Beach,114,3,Good,14,Good,13,Good,114,L2,304.5540134,7.05663573,L2,Unhealthy for Sensitive Groups
Russian Federation,Kamyshlov,32,1,,32,Good,0,Good,23,L0,68.28027528,5.996297447,L0,Good
Haiti,Jeremie,87,1,Good,32,Good,0,Good,87,L1,225.7717055,0.468335241,L1,Moderate
Russian Federation,Sysert,36,1,Good,,Good,0,Good,26,L0,85.4108591,1.025936836,L0,Good
Ecuador,Arenillas,34,1,Good,17,Good,1,Good,34,L0,73.28852835,-1.007076606,L0,Good
India,Madhogarh,172,4,,95,Moderate,5,Good,172,L3,434.2412855,3.427513866,L3,Unhealthy
Romania,Targu Lapus,67,1,Good,42,Good,0,Good,67,L1,171.7703057,2.833020994,L1,Moderate
Tajikistan,Hisor,144,1,Good,26,Good,1,Good,144,L2,357.8722212,-1.521092321,L2,Unhealthy for Sensitive Groups
Japan,Akashi,40,1,Good,40,Good,2,Good,29,L0,92.94417649,3.63780104,L0,Good
Italy,Rubiera,74,1,Good,29,Good,6,Good,74,L1,181.6752338,7.418441135,L1,Moderate
