,Country,City,AQI_Value,AQI_Category,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,VOCs,SO2,Emissions
0,Russian Federation,Praskoveya,51,Moderate,1,Good,36,Good,0,Good,51,L1,137.4671415,10.58399843,L1
1,Brazil,Presidente Dutra,41,Good,1,Good,5,Good,1,Good,41,L0,106.117357,3.415177318,L0
2,Italy,Priolo Gargallo,66,Moderate,1,Good,39,Good,2,Good,66,L1,176.4768854,-0.907914832,L1
3,Poland,Przasnysz,34,Good,1,Good,34,Good,0,Good,20,L0,105.2302986,3.394131948,L0
4,France,Punaauia,22,Good,0,Good,22,Good,0,Good,6,L0,57.65846625,12.45832718,L0
5,United States of America,Punta Gorda,54,Moderate,1,Good,14,Good,11,Good,54,L1,137.6586304,8.794839177,L1
6,Germany,Puttlingen,62,Moderate,1,Good,35,Good,3,Good,62,L1,175.7921282,6.553713458,L1
7,Belgium,Puurs,64,Moderate,1,Good,29,Good,1003.063334,Good,64,L1,172.6743473,8.613424585,L1
8,Russian Federation,Pyatigorsk,54,Moderate,1,Good,41,Good,1,Good,54,L1,135.3052561,11.50283306,L1
9,Egypt,Qalyub,142,Unhealthy for Sensitive Groups,3,Good,89,Moderate,9,Good,142,L2,365.4256004,1.635668992,L2
10,China,Qinzhou,68,Moderate,2,Good,68,Moderate,1,Good,58,L1,170.3658231,3.639800657,L1
11,Netherlands,Raalte,41,Good,1,Good,24,Good,6,Good,41,L0,102.8427025,1.156391836,L0
12,India,Radaur,158,Unhealthy,3,Good,139,Unhealthy for Sensitive Groups,1,Good,158,L3,402.4196227,10.33557199,L3
13,Pakistan,Radhan,158,Unhealthy,1,Good,50,Good,1,Good,158,L3,380.8671976,4.600554453,L3
14,Republic of North Macedonia,Radovis,83,Moderate,1,Good,46,Good,0,Good,83,L1,195.2508217,7.581556453,L1
15,France,Raismes,59,Moderate,1,Good,30,Good,4,Good,59,L1,146.8771247,1.265563251,L1
16,India,Rajgir,154,Unhealthy,3,Good,100,Unhealthy for Sensitive Groups,2,Good,154,L3,379.8716888,14.25976025,L3
17,Italy,Ramacca,55,Moderate,1,Good,47,Good,0,Good,55,L1,145.6424733,3.453331459,L1
18,United States of America,Phoenix,72,Moderate,1,Good,4,Good,23,Good,72,L1,175.9197592,7.27272776,L1
19,India,Phulabani,161,Unhealthy,2,Good,71,Moderate,0,Good,161,L3,393.376963,11.57703249,L3
20,Poland,Piaseczno,28,Good,1,Good,28,Good,2,Good,28,L0,89.65648769,9.375621577,L0
21,India,Pimpri,118,Unhealthy for Sensitive Groups,2,Good,30,Good,2,Good,118,L2,297.742237,7.404142042,L2
22,Brazil,Pindobacu,33,Good,0,,10,Good,1,Good,33,L0,88.17528205,6.096734532,L0
23,China,Pingyin,150,Unhealthy,3,Good,95,Moderate,6,Good,150,L3,365.7525181,16.10830332,L3
24,Brazil,Pinheiral,154,Unhealthy,5,,0,Good,13,Good,154,L3,384.5561728,13.56800617,L3
25,India,Piravam,81,Moderate,1,Good,24,Good,1,Good,81,L1,208.6092259,0.15176799,L1
26,Colombia,Plato,67,Moderate,1,Good,16,Good,2,Good,67,L1,160.9900642,6.715253655,L1
27,Romania,Poiana Mare,62,Moderate,1,Good,37,Good,1,Good,62,L1,163.7569802,3.61359391,L1
28,Russian Federation,Polevskoy,31,Good,1,Good,31,Good,0,Good,17,L0,76.4936131,-7.940005672,L0
29,France,Pontarlier,56,Moderate,1,Good,35,Good,0,Good,56,L1,142.0830625,6.109990119,L1
30,United States of America,Pontiac,77,Moderate,2,Good,,Good,15,Good,77,L1,191.4829339,6.18325325,L1
31,Indonesia,Pontianak,44,Good,1,Good,15,Good,0,Good,44,L0,133.5227818,9.582088857,L0
32,Brazil,Porecatu,30,Good,1,Good,9,Good,2,Good,30,L0,79.86502775,0.049531713,L0
33,Finland,Pori,30,Good,1,Good,30,Good,1,Good,15,L0,69.42289071,-3.728548312,L0
34,South Africa,Port Elizabeth,79,Moderate,3,Good,,Good,5,Good,79,L1,210.7254491,8.243404297,L1
35,United States of America,Port Neches,34,Good,1,,,Good,7,Good,34,L0,77.7915635,5.700886938,L0
36,United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,Moderate,1,Good,20,Good,5,Good,51,L1,134.588636,4.269164727,L1
37,United States of America,Portales,77,Moderate,1,Good,34,Good,1003.063334,Good,77,L1,177.9032988,3.903543418,L1
38,United States of America,Post Falls,61,Moderate,1,Good,32,Good,3,Good,61,L1,144.2181395,-1.543634771,L1
39,Brazil,Pouso Alegre,32,Good,1,Good,7,Good,2,Good,32,L0,86.96861236,3.105414315,L0
40,China,Dalinghe,64,Moderate,3,Good,64,Moderate,4,Good,64,L1,172.3846658,5.657970852,L1
41,Russian Federation,Dalnegorsk,29,Good,0,Good,29,Good,0,Good,25,L0,79.21368281,7.363543704,L0
42,United Republic of Tanzania,Dar Es Salaam,51,Moderate,1,Good,23,Good,0,Good,51,L1,131.3435172,5.69662682,L1
43,India,Darbhanga,247,Very Unhealthy,3,Good,162,Unhealthy,1,Good,247,L4,619.488963,6.010014391,L4
44,United States of America,Dayton,45,Good,1,Good,,Good,7,Good,45,L0,102.7147801,12.41942438,L0
45,Belgium,Deinze,36,Good,1,Good,25,Good,3,Good,36,L0,87.80155792,2.455461619,L0
46,Egypt,Dekernes,81,Moderate,2,Good,,Moderate,4,Good,56,L1,202.8936123,8.388933619,L1
47,Haiti,Delmas,124,Unhealthy for Sensitive Groups,2,Good,15,Good,5,Good,124,L2,325.5712223,4.765393332,L2
48,United States of America,Deming,72,Moderate,1,,26,Good,2,Good,72,L1,188.4361829,11.95576258,L1
49,United Kingdom of Great Britain and Northern Ireland,Denton,55,Moderate,0,,32,Good,1,Good,55,L1,124.8695984,2.434298879,L1
50,United States of America,Destin,31,Good,0,Good,31,Good,0,Good,25,L0,85.74083969,2.582071139,L0
51,Pakistan,Dhadar,157,Unhealthy,1,Good,89,Moderate,1003.063334,Good,157,L3,393.6491772,3.100648206,L3
52,India,Dharmapuri,60,Moderate,1,Good,,Good,1,Good,60,L1,148.23078,4.78255963,L1
53,Pakistan,Digri,153,Unhealthy,1,Good,40,Good,0,Good,153,L3,393.6167629,9.797689193,L3
54,Somalia,Dinsor,22,Good,0,Good,19,Good,0,Good,22,L0,70.30999522,6.229219223,L0
55,Philippines,Dipolog,30,Good,1,Good,17,Good,0,Good,30,L0,89.31280119,3.940380906,L0
56,Latvia,Dobele,44,Good,1,Good,34,Good,0,Good,44,L0,106.6078248,12.30662553,L0
57,United States of America,Grandville,47,Good,1,Good,,Good,4,Good,47,L0,119.4078762,8.164928207,L0
58,Netherlands,Grave,37,Good,0,Good,32,Good,2,Good,37,L0,100.8126343,-0.190905596,L0
59,United States of America,Green Valley,44,Good,1,,14,Good,8,Good,44,L0,124.7554513,-3.101741769,L0
60,United States of America,Greendale,58,Moderate,2,Good,14,Good,24,Good,58,L1,145.2082576,3.524930991,L1
61,Poland,Grudziadz,37,Good,0,,33,Good,0,Good,37,L0,95.64341023,4.066743893,L0
62,Colombia,Guamo,89,Moderate,3,Good,3,Good,6,Good,89,L1,216.4366503,10.38600185,L1
63,Italy,Guardiagrele,52,Moderate,2,Good,38,Good,7,Good,52,L1,123.0379338,12.39568842,L1
64,Chad,Guelengdeng,59,Moderate,2,Good,16,Good,1003.063334,Good,59,L1,160.6252582,0.127270124,L1
65,United Kingdom of Great Britain and Northern Ireland,Guildford,51,Moderate,1,Good,25,Good,1003.063334,Good,51,L1,146.0624003,1.60422333,L1
66,Philippines,Guiset,66,Moderate,1,Good,26,Good,1,Good,66,L1,169.2798988,-2.088213349,L1
67,Russian Federation,Gukovo,38,Good,1,Good,38,Good,0,Good,13,L0,110.035329,-2.893996058,L0
68,United States of America,Havre De Grace,34,Good,1,Good,30,Good,7,Good,34,L0,93.61636025,0.66090627,L0
69,United States of America,Hazelwood,88,Moderate,2,Good,11,Good,20,Good,88,L1,218.5488025,7.433061221,L1
70,Germany,Heddesheim,54,Moderate,1,Good,31,Good,3,Good,54,L1,143.6139561,7.656972174,L1
71,Germany,Heiligenhaus,44,Good,1,Good,28,Good,3,Good,44,L0,130.3803657,-0.941770533,L0
72,United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51,Moderate,1,Good,26,Good,6,Good,51,L1,132.1417396,-0.246379597,L1
73,United States of America,Hicksville,67,Moderate,2,Good,15,Good,23,Good,67,L1,188.1464366,-3.299115877,L1
74,Brazil,Hidrolandia,42,Good,1,Good,5,Good,2,Good,42,L0,83.80254896,4.871761041,L0
75,India,Gyanpur,189,Unhealthy,2,Good,99,Moderate,1,Good,189,L3,485.719025,1.93930549,L3
76,Germany,Haiger,49,Good,1,Good,25,Good,3,Good,49,L0,128.3704707,12.11515689,L0
77,China,Hangzhou,203,Very Unhealthy,5,Good,203,Very Unhealthy,5,Good,151,L3,509.5099265,13.049044,L3
78,Germany,Harrislee,35,Good,0,Good,32,Good,0,Good,35,L0,93.41760777,1.142771283,L0
79,United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,L1,210.1243109,0.594437862,L1
80,India,Harur,67,Moderate,1,Good,26,Good,1,Good,67,L1,170.3032811,-3.673351101,L1
81,Germany,Hasbergen,36,Good,0,Good,34,Good,1,Good,36,L0,98.57112572,-4.839358885,L0
82,France,Haubourdin,48,Good,1,Good,28,Good,4,Good,48,L0,139.7789404,0.689295227,L0
83,United States of America,Taunton,41,Good,1,Good,28,Good,10,Good,41,L0,102.3172978,0.30548559,L0
84,New Zealand,Tauranga,19,Good,0,Good,19,Good,1,Good,17,L0,44.41506397,-2.995859214,L0
85,Tunisia,Tawzar,73,Moderate,1,Good,43,Good,0,Good,73,L1,182.4824296,5.685473637,L1
86,Viet Nam,Tay Ninh,45,Good,0,Good,18,Good,1003.063334,Good,45,L0,126.6540212,4.571327962,L0
87,Iran (Islamic Republic of),Taybad,170,Unhealthy,1,Good,43,Good,0,Good,170,L3,433.2875111,1.506838013,L3
88,Italy,Teano,47,Good,1,Good,47,Good,1,Good,36,L0,117.202398,13.47576134,L0
89,India,Tekkali,155,Unhealthy,3,Good,82,Moderate,1,Good,155,L3,397.6326743,-1.333646833,L3
90,Brazil,Teodoro Sampaio,46,Good,1,Good,9,Good,1,Good,46,L0,120.9707755,4.090819495,L0
91,Mexico,Tepeaca,172,Unhealthy,5,Good,2,Good,1003.063334,Good,172,L3,444.6864499,9.90709898,L3
92,Mexico,Tequila,64,Moderate,1,Good,15,Good,2,Good,64,L1,157.9794691,1.04649559,L1
93,Italy,Teramo,44,Good,1,Good,44,Good,1,Good,38,L0,111.7233785,0.31168577,L0
94,Viet Nam,Thai Nguyen,150,Unhealthy,3,Good,150,Unhealthy,1,Good,105,L2,376.0789185,7.365200585,L2
95,China,Tianjin,142,Unhealthy for Sensitive Groups,4,Good,113,Unhealthy for Sensitive Groups,1003.063334,Good,142,L2,345.3648505,8.072360863,L2
96,Indonesia,Tidore,21,Good,0,Good,13,Good,0,Good,21,L0,60.46120277,0.040617364,L0
97,Romania,Timisoara,47,Good,1,Good,42,Good,0,Good,47,L0,125.1105527,-2.693598175,L0
98,Tunisia,Tinjah,48,Good,1,Good,48,Good,1,Good,29,L0,125.0511346,-4.290559089,L0
99,Philippines,Toboso,54,Moderate,1,Good,20,Good,0,Good,54,L1,137.6541287,2.357417624,L1
100,Japan,Tokorozawa,60,Moderate,1,Good,44,Good,3,Good,60,L1,140.8462926,1.789519478,L1
101,Mexico,Toluca,166,Unhealthy,4,,8,Good,19,Good,166,L3,415.7935468,8.214815699,L3
102,Brazil,Itapissuma,27,Good,0,Good,23,Good,1003.063334,Good,27,L0,69.07285483,1.456891011,L0
103,Brazil,Itarantim,23,Good,1,Good,,Good,1,Good,23,L0,54.47722731,1.187488291,L0
104,Brazil,Itumbiara,31,Good,1,Good,13,Good,0,Good,31,L0,80.88714288,2.737962881,L0
105,Mexico,Ixtaczoquitlan,88,Moderate,3,Good,13,Good,9,Good,88,L1,229.0405086,3.132358459,L1
106,El Salvador,Izalco,90,Moderate,2,Good,22,Good,9,Good,90,L1,248.861859,13.21972905,L1
107,United Republic of Tanzania,Izazi,28,Good,1,Good,15,Good,0,Good,28,L0,76.74577813,-0.198700741,L0
108,Russian Federation,Izberbash,51,Moderate,1,Good,38,Good,0,Good,51,L1,135.0755039,1.945096453,L1
109,India,Jabalpur,170,Unhealthy,1,Good,38,Good,0,Good,170,L3,429.2555408,0.181056054,L3
110,Brazil,Jaguaquara,22,Good,0,Good,9,Good,1,Good,22,L0,40.81228785,-1.702907701,L0
111,India,Jahanabad,168,Unhealthy,4,Good,168,Unhealthy,1,Good,156,L3,424.7348612,9.323207833,L3
112,Bulgaria,Jambol,40,Good,1,Good,40,Good,0,Good,32,L0,105.6023021,3.288828951,L0
113,Poland,Jarocin,47,Good,1,Good,27,Good,2,Good,47,L0,147.1324211,1.502698048,L0
114,Philippines,Jasaan,59,Moderate,1,Good,32,Good,0,Good,59,L1,150.5763904,2.382620042,L1
115,Nigeria,Ilobu,133,Unhealthy for Sensitive Groups,4,Good,23,Good,3,Good,133,L2,340.5154734,5.600932245,L2
116,Finland,Imatra,29,Good,1,,29,Good,1,Good,7,L0,77.1528823,5.808628189,L0
117,Brazil,Indaial,73,Moderate,2,Good,2,Good,8,Good,73,L1,175.8132196,15.87596371,L1
118,Philippines,Indang,50,Good,0,Good,24,Good,0,Good,50,L0,141.4282281,-2.374206386,L0
119,Brazil,Itagi,25,Good,0,Good,,Good,1,Good,25,L0,75.01933033,3.969816119,L0
120,Nigeria,Iseyin,90,Moderate,3,Good,18,Good,2,Good,90,L1,237.9103195,7.624744785,L1
121,Mexico,Isla,81,Moderate,2,Good,26,Good,3,Good,81,L1,198.4061255,8.943148791,L1
122,Brazil,Itaitinga,29,Good,0,,20,Good,1,Good,29,L0,91.52794311,5.483964802,L0
123,Brazil,Itambe,21,Good,0,Good,8,Good,1,Good,21,L0,43.48148937,3.027063486,L0
124,Brazil,Itapemirim,44,Good,1,Good,16,Good,1,Good,44,L0,120.8685709,3.600897119,L0
125,South Sudan,Torit,65,Moderate,1,Good,12,Good,0,Good,65,L1,189.4045563,1.627749002,L1
126,Guatemala,Totonicapan,66,Moderate,2,Good,7,Good,6,Good,66,L1,160.0946367,1.775198234,L1
127,United States of America,Trenton,53,Moderate,1,Good,28,Good,10,Good,53,L1,131.8370227,3.315771695,L1
128,United States of America,Trujillo Alto,56,Moderate,0,,23,Good,0,Good,56,L1,145.9965137,-4.422944157,L1
129,Ireland,Tullamore,57,Moderate,1,Good,26,Good,3,Good,57,L1,142.4652435,0.830720049,L1
130,Turkey,Tunceli,62,Moderate,0,Good,35,Good,1003.063334,Good,62,L1,144.4933657,7.534268122,L1
131,Viet Nam,Tuyen Quang,167,Unhealthy,4,,167,Unhealthy,1,Good,107,L2,423.1856297,9.692561105,L2
132,United States of America,Two Rivers,49,Good,1,Good,27,Good,4,Good,49,L0,116.8769629,8.263322095,L0
133,United States of America,Tysons Corner,55,Moderate,2,Good,25,Good,11,Good,55,L1,147.2359243,12.94821943,L1
134,Russian Federation,Tyukalinsk,34,Good,1,Good,,Good,0,Good,32,L0,80.80575766,2.91485272,L0
135,India,Udupi,80,Moderate,1,Good,25,Good,0,Good,80,L1,220.4993441,4.836629171,L1
136,India,Umaria,163,Unhealthy,2,Good,92,Moderate,0,Good,163,L3,404.6674671,4.090770529,L3
137,United States of America,Willowbrook,126,Unhealthy for Sensitive Groups,4,Good,3,Good,36,Good,126,L2,316.7793848,5.136971198,L2
138,United States of America,Wilmette,63,Moderate,2,Good,9,Good,22,Good,63,L1,170.6351722,0.835158703,L1
139,United States of America,Wolf Trap,53,Moderate,2,Good,27,Good,10,Good,53,L1,125.1913568,9.815751863,L1
140,United States of America,Woodhaven,86,Moderate,2,Good,38,Good,10,Good,86,L1,222.2745993,6.643136402,L1
141,China,Wulanhaote,47,Good,2,Good,47,Good,0,Good,25,L0,135.5714275,14.83301536,L0
142,China,Xiangdong,78,Moderate,2,Good,25,Good,7,Good,78,L1,183.9251677,10.46026006,L1
143,China,Xiaoweizhai,61,Moderate,2,Good,61,Moderate,0,Good,54,L1,159.3463386,1.943935052,L1
144,China,Xushan,112,Unhealthy for Sensitive Groups,2,Good,44,Good,4,Good,112,L2,287.5988279,9.801710901,L2
145,Peru,Yanacancha,27,Good,0,Good,6,Good,1,Good,27,L0,80.31822872,0.474622304,L0
146,China,Yancheng,155,Unhealthy,3,Good,155,Unhealthy,2,Good,151,L3,380.1304929,13.48429855,L3
147,Democratic Republic of the Congo,Yangambi,121,Unhealthy for Sensitive Groups,4,Good,24,Good,0,Good,121,L2,294.2954339,6.768330614,L2
148,China,Yanggu,160,Unhealthy,3,Good,138,Unhealthy for Sensitive Groups,5,Good,160,L3,410.2194157,2.137870199,L3
149,China,Yangliuqing,144,Unhealthy for Sensitive Groups,4,Good,109,Unhealthy for Sensitive Groups,9,Good,144,L2,367.9698467,5.221224615,L2
150,China,Yanji,69,Moderate,2,Good,48,Good,0,Good,69,L1,180.0049285,1.876675488,L1
151,United States of America,Yankton,47,Good,1,Good,34,Good,3,Good,47,L0,125.9644821,-0.401258823,L0
